Samp_no,Date,Species,Month,Colony,Fv.Fm,Ik,rETRmax,Alpha,SA_cm2,Cells.cm2,Chl_pg.cell,Host_Proteins_mg.cm2,Host_Carbs_mg.cm2,Lipids_Host.mg.cm2.,Host_Stored_energy_J.cm2,Carbs_sym.pg.cell.,Proteins_sym.pg.cell.,Lipids_sym.pg.cell.,Sym_Stored_energy_uJ.cell
132,14/06/2021,Pocillopora,June,P4,0.58,4.339148936,20.394,4.7,9.683, ,0.56,1.05,0.14,0.06,30,24.38,27.701,11.1,1.53
133,14/06/2021,Pocillopora,June,P5,0.558,4.739032258,22.0365,4.65,5.271,1112768,1.66,1.17,0.17,0.46,49,57.8,73.076,19.869,3.54
134,14/06/2021,Pocillopora,June,P6,0.589,4.612048193,22.968,4.98,4.167,2429526,1.11,0.92,0.16,0.14,30,30.27, ,25.766,
135,14/06/2021,Pocillopora,June,P7,0.579,3.557142857,16.434,4.62,3.064,1233553,1.31,0.78,0.1,0.23,30,40.14, , ,
136,14/06/2021,Pocillopora,June,P8,0.579,3.85969163,17.523,4.54,9.683,1961887,0.72,0.73,0.13,0.14,25,21.47,29.138,11.735,1.54
137,01/07/2021,Pocillopora,July,P1,0.593,6.343592437,30.1955,4.76,5.822,4182683,0.69,1.15,0.18,0.73, ,21.37,25.752,12.847,1.5
138,01/07/2021,Pocillopora,July,P2,0.574,4.461290323,22.128,4.96,6.65,1939969,0.93,0.85,0.11,0.11,27,30.28,42.01,6.756,1.8
139,01/07/2021,Pocillopora,July,P3,0.612,7.758956693,39.4155,5.08,3.064,1502780,1.25,1.03,0.14,0.78,,26.62,69.219,73.053,5.01
140,01/07/2021,Pocillopora,July,P4,0.564,7.823882114,38.4935,4.92,3.616,3353937,0.92,0.98,0.13,0.1,30,27.4,38.294,15.408,2
141,01/07/2021,Pocillopora,July,P5,0.573,3.857541322,18.6705,4.84,4.995,1953512,1,0.94,0.1,0.17,31,23.02,70.651,47.783,3.98
142,01/07/2021,Pocillopora,July,P6,0.563,7.446193416,36.1885,4.86,3.064,3453458,0.97,1.29,0.17,0.47,52,26.53,43.331,2.468,1.6
143,01/07/2021,Pocillopora,July,P7,0.56,3.087053571,13.83,4.48,3.616,1310877,1.3,0.86,0.15,0.15,29,40.69,55.356,16.69,2.69
144,01/07/2021,Pocillopora,July,P8,0.563,8.327741935,38.724,4.65,3.064,1113624,1.15,0.72,0.08,0.12, ,26.68, ,95.163,
145,03/08/2021,Pocillopora,August,P1,0.585,8.347363083,41.1525,4.93,3.064,2785284,1.38,1.29,0.06,0.5,52,31.19,33.287,35.974,2.76
146,03/08/2021,Pocillopora,August,P2,0.582,5.788716356,27.9595,4.83,5.822,1548379,1.14,0.74,0.1,0.32,32,21.66,38.719,15.922,1.93
147,03/08/2021,Pocillopora,August,P3,0.643,7.76956912,43.2765,5.57,6.65,2020049,1.07,1.19,0.14,0.22,39,22.47,35.498,43.474,2.96
148,03/08/2021,Pocillopora,August,P4,0.592,7.502912621,38.64,5.15,4.167,1574693,0.96,0.83,0.07,0.75,51,22.93,37.112,23.725,2.23
149,03/08/2021,Pocillopora,August,P5,0.589,5.015762004,24.0255,4.79,3.616,1458143,1.58,0.65,0.09,0.57,40,,58.974,48.985,4.04
150,03/08/2021,Pocillopora,August,P6,0.588,7.186053719,34.7805,4.84,4.167,1545898,1.18,0.98,0.09,0.17,32,22.95,42.337,41.703,3.06
151,03/08/2021,Pocillopora,August,P7,0.539,6.669565217,27.612,4.14,5.271,2172886,0.94,0.75,0.14,0.12,,28.38,26.107,2.832,1.23
152,03/08/2021,Pocillopora,August,P8,0.615,8.290517241,43.2765,5.22,4.995,1524070,1.51,0.72,0.1,0.5,39,18.99,48.197,11.61,1.94
153,17/09/2021,Pocillopora,September,P1,0.523,5.520220588,22.5225,4.08,13.82,1447888,1.01,0.74,0.09,0.08,22,20.83,30.113,10.779,1.51
154,17/09/2021,Pocillopora,September,P2,0.521,5.997066015,24.528,4.09,10.511,1992979,0.71,0.61,0.07,0.23,25,21.8,35.298,7.284,1.51
155,17/09/2021,Pocillopora,September,P3,0.607,,,5.38,15.475,1521338,1.36,0.95,0.11,0.17,31,31.65,44.414,13.563,2.15
156,17/09/2021,Pocillopora,September,P4,0.559,5.125423729,21.168,4.13,16.854,2371866,1.25,0.87,0.12,0.21,31,38.11,38.226,10.958,2.01
157,17/09/2021,Pocillopora,September,P5,0.545,5.537671233,20.2125,3.65,5.546,1653767,1,1.42,0.15,0.16,43,31.77,56.647,15.875,2.54
158,17/09/2021,Pocillopora,September,P6,0.556,7.801973684,35.577,4.56,9.683,2441322,1.62,0.83,0.12,0.21,30,27.94,37.758,9.808,1.78
159,17/09/2021,Pocillopora,September,P7,0.546,5.902702703,24.024,4.07,6.925,1601717,0.95,0.73,0.1,0.31,31,22.93,26.447,57.93,3.32
160,17/09/2021,Pocillopora,September,P8,0.585,6.4125,28.728,4.48,12.717,1535153,1.36,0.87,0.11,0.14,28,25.78,41.897,24.373,2.42
161,08/10/2021,Pocillopora,October,P1,0.705,5.341040462,27.72,5.19,9.407,1816903,0.67,1.01,0.12,0.28,37,26.07,36.08,20.282,2.12
162,08/10/2021,Pocillopora,October,P2,0.677,6.22875,29.898,4.8,6.098,1129057,0.79,0.61,0.04,0.06,17,21.16, ,14.448,
163,08/10/2021,Pocillopora,October,P3,0.73,8.042685026,46.728,5.81,7.201,1831994,0.83,0.66,0.07,0.16,23,29.2,27.591,46.007,2.99
164,08/10/2021,Pocillopora,October,P4,0.693,5.739130435,27.72,4.83,9.407,1891844,1.42,0.78,0.11,0.28,31,21.01,27.005,6.982,1.29
165,08/10/2021,Pocillopora,October,P5,0.703,6.281700555,33.984,5.41,14.923,1111685,0.93,0.38,0.07,0.13,16,37.6,40,12.806,2.12
166,08/10/2021,Pocillopora,October,P6,0.69,,,5.67,6.65,1818157,0.76,0.97,0.1,0.12,30,28.41,45.903,24.056,2.54
167,08/10/2021,Pocillopora,October,P7,0.67,9.736773547,48.5865,4.99,6.098,1291405,1.15,0.68,0.11,0.17,25,28.54,43.744,10.685,1.97
